Description,Acronym,Length,ID,die
"NM_022063.3 Homo sapiens family with sequence similarity 204 member A (FAM204A), transcript variant 1, mRNA",FAM204A,13898,NM_022063.3,no
"NM_001370487.1 Homo sapiens potassium channel tetramerization domain containing 16 (KCTD16), transcript variant 3, mRNA",KCTD16,13896,NM_001370487.1,no
"NM_019091.4 Homo sapiens pleckstrin homology domain containing A3 (PLEKHA3), mRNA",PLEKHA3,13892,NM_019091.4,no
"NM_001129827.2 Homo sapiens calcium voltage-gated channel subunit alpha1 C (CACNA1C), transcript variant 2, mRNA",CACNA1C,13888,NM_001129827.2,no
"NM_020234.6 Homo sapiens DTW domain containing 1 (DTWD1), transcript variant 1, mRNA",DTWD1,13827,NM_020234.6,no
"NM_001330447.2 Homo sapiens helicase with zinc finger (HELZ), transcript variant 2, mRNA",HELZ,13820,NM_001330447.2,no
"NM_017412.4 Homo sapiens frizzled class receptor 3 (FZD3), transcript variant 1, mRNA",FZD3,13770,NM_017412.4,no
"NM_001367624.2 Homo sapiens zinc finger protein 469 (ZNF469), mRNA",ZNF469,13770,NM_001367624.2,no
"NM_001202543.2 Homo sapiens cut like homeobox 1 (CUX1), transcript variant 4, mRNA",CUX1,13766,NM_001202543.2,no
"NM_002025.4 Homo sapiens AF4/FMR2 family member 2 (AFF2), transcript variant 1, mRNA",AFF2,13748,NM_002025.4,no
"NM_173628.4 Homo sapiens dynein axonemal heavy chain 17 (DNAH17), mRNA",DNAH17,13725,NM_173628.4,no
"NM_012199.5 Homo sapiens argonaute RISC component 1 (AGO1), transcript variant 1, mRNA",AGO1,13712,NM_012199.5,no
"NM_001372.4 Homo sapiens dynein axonemal heavy chain 9 (DNAH9), transcript variant 2, mRNA",DNAH9,13711,NM_001372.4,no
"NM_001329919.2 Homo sapiens unc-13 homolog C (UNC13C), transcript variant 2, mRNA",UNC13C,13709,NM_001329919.2,no
"NM_001080463.2 Homo sapiens dynein cytoplasmic 2 heavy chain 1 (DYNC2H1), transcript variant 2, mRNA",DYNC2H1,13704,NM_001080463.2,no
"NM_001009899.4 Homo sapiens upstream transcription factor family member 3 (USF3), transcript variant 1, mRNA",USF3,13704,NM_001009899.4,no
"NM_001281956.2 Homo sapiens CUB and Sushi multiple domains 2 (CSMD2), transcript variant 1, mRNA",CSMD2,13655,NM_001281956.2,no
"NM_018012.4 Homo sapiens kinesin family member 26B (KIF26B), mRNA",KIF26B,13593,NM_018012.4,no
"NM_022055.2 Homo sapiens potassium two pore domain channel subfamily K member 12 (KCNK12), mRNA",KCNK12,13564,NM_022055.2,no
"NM_001080436.2 Homo sapiens WT1 interacting protein (WTIP), mRNA",WTIP,13545,NM_001080436.2,no
"NM_001330450.2 Homo sapiens mitogen-activated protein kinase kinase 6 (MAP2K6), transcript variant 2, mRNA",MAP2K6,13525,NM_001330450.2,no
"NM_001277313.2 Homo sapiens formin 1 (FMN1), transcript variant 1, mRNA",FMN1,13511,NM_001277313.2,no
"NM_152592.5 Homo sapiens spectrin repeat containing nuclear envelope family member 3 (SYNE3), transcript variant 1, mRNA",SYNE3,13502,NM_152592.5,no
"NM_002111.8 Homo sapiens huntingtin (HTT), mRNA",HTT,13498,NM_002111.8,no
"NM_152943.3 Homo sapiens zinc finger protein 268 (ZNF268), transcript variant 3, mRNA",ZNF268,13496,NM_152943.3,no
"NM_001363466.2 Homo sapiens family with sequence similarity 126 member A (FAM126A), transcript variant 2, mRNA",FAM126A,13474,NM_001363466.2,no
"NR_103459.2 Homo sapiens succinate dehydrogenase complex subunit C (SDHC), transcript variant 6, non-coding RNA",SDHC,13469,NR_103459.2,no
"NM_006904.7 Homo sapiens protein kinase, DNA-activated, catalytic subunit (PRKDC), transcript variant 1, mRNA",PRKDC,13459,NM_006904.7,no
"NM_001321938.2 Homo sapiens fibroblast growth factor 14 (FGF14), transcript variant 10, mRNA",FGF14,13433,NM_001321938.2,no
"NM_014810.5 Homo sapiens centrosomal protein 350 (CEP350), mRNA",CEP350,13414,NM_014810.5,no
"NM_015646.6 Homo sapiens RAP1B, member of RAS oncogene family (RAP1B), transcript variant 1, mRNA",RAP1B,13387,NM_015646.6,no
"NR_146117.1 Homo sapiens RNA, 45S pre-ribosomal N4 (RNA45SN4), ribosomal RNA",RNA45SN4,13373,NR_146117.1,no
"NM_002031.3 Homo sapiens fyn related Src family tyrosine kinase (FRK), mRNA",FRK,13363,NM_002031.3,no
"NM_199351.3 Homo sapiens immunoglobulin like domain containing receptor 2 (ILDR2), mRNA",ILDR2,13360,NM_199351.3,no
"NM_005401.5 Homo sapiens protein tyrosine phosphatase non-receptor type 14 (PTPN14), mRNA",PTPN14,13360,NM_005401.5,no
"NR_046235.3 Homo sapiens RNA, 45S pre-ribosomal N5 (RNA45SN5), ribosomal RNA",RNA45SN5,13357,NR_046235.3,yes
"NM_001358235.2 Homo sapiens dachsous cadherin-related 2 (DCHS2), transcript variant 3, mRNA",DCHS2,13354,NM_001358235.2,no
"NR_145819.1 Homo sapiens RNA, 45S pre-ribosomal N1 (RNA45SN1), ribosomal RNA",RNA45SN1,13351,NR_145819.1,yes
"NM_138714.4 Homo sapiens nuclear factor of activated T cells 5 (NFAT5), transcript variant 1, mRNA",NFAT5,13351,NM_138714.4,no
"NM_001278472.2 Homo sapiens MON2 homolog, regulator of endosome-to-Golgi trafficking (MON2), transcript variant 5, mRNA",MON2,13341,NM_001278472.2,no
"NM_006738.6 Homo sapiens A-kinase anchoring protein 13 (AKAP13), transcript variant 1, mRNA",AKAP13,13339,NM_006738.6,no
"NR_146144.1 Homo sapiens RNA, 45S pre-ribosomal N2 (RNA45SN2), ribosomal RNA",RNA45SN2,13315,NR_146144.1,yes
"NR_146151.1 Homo sapiens RNA, 45S pre-ribosomal N3 (RNA45SN3), ribosomal RNA",RNA45SN3,13309,NR_146151.1,yes
"NM_001321710.2 Homo sapiens diacylglycerol kinase iota (DGKI), transcript variant 4, mRNA",DGKI,13232,NM_001321710.2,no
"NM_001322272.2 Homo sapiens cleavage and polyadenylation specific factor 2 (CPSF2), transcript variant 4, mRNA",CPSF2,13226,NM_001322272.2,no
"NM_001377481.1 Homo sapiens ENAH actin regulator (ENAH), transcript variant 3, mRNA",ENAH,13212,NM_001377481.1,no
"NM_015693.4 Homo sapiens inturned planar cell polarity protein (INTU), mRNA",INTU,13208,NM_015693.4,no
"NM_001042549.2 Homo sapiens NSL1 component of MIS12 kinetochore complex (NSL1), transcript variant 2, mRNA",NSL1,13200,NM_001042549.2,no
"NM_001351365.1 Homo sapiens NBPF member 19 (NBPF19), mRNA",NBPF19,13190,NM_001351365.1,no
"NM_018036.7 Homo sapiens autophagy related 2B (ATG2B), mRNA",ATG2B,13162,NM_018036.7,no
"NM_004537.7 Homo sapiens nucleosome assembly protein 1 like 1 (NAP1L1), transcript variant 2, mRNA",NAP1L1,13159,NM_004537.7,no
"NM_025134.6 Homo sapiens chromodomain helicase DNA binding protein 9 (CHD9), transcript variant 2, mRNA",CHD9,13152,NM_025134.6,no
"NM_033655.5 Homo sapiens contactin associated protein family member 3 (CNTNAP3), mRNA",CNTNAP3,13150,NM_033655.5,no
"NM_001321007.2 Homo sapiens tRNA aspartic acid methyltransferase 1 (TRDMT1), transcript variant g, mRNA",TRDMT1,13148,NM_001321007.2,no
"NM_033171.3 Homo sapiens beta-1,3-galactosyltransferase 5 (B3GALT5), transcript variant 3, mRNA",B3GALT5,13114,NM_033171.3,no
"NM_015512.5 Homo sapiens dynein axonemal heavy chain 1 (DNAH1), mRNA",DNAH1,13105,NM_015512.5,no
"NM_001365276.2 Homo sapiens tenascin XB (TNXB), transcript variant 3, mRNA",TNXB,13097,NM_001365276.2,no
"NM_001128159.3 Homo sapiens VPS53 subunit of GARP complex (VPS53), transcript variant 1, mRNA",VPS53,13089,NM_001128159.3,no
"NM_001204087.1 Homo sapiens potassium calcium-activated channel subfamily N member 3 (KCNN3), transcript variant 3, mRNA",KCNN3,13080,NM_001204087.1,no
"NM_006920.6 Homo sapiens sodium voltage-gated channel alpha subunit 1 (SCN1A), transcript variant 2, mRNA",SCN1A,13079,NM_006920.6,no
"NM_020911.1 Homo sapiens plexin A4 (PLXNA4), transcript variant 1, mRNA",PLXNA4,13061,NM_020911.1,no
"NM_012213.3 Homo sapiens malonyl-CoA decarboxylase (MLYCD), mRNA",MLYCD,13054,NM_012213.3,no
"NM_198123.2 Homo sapiens CUB and Sushi multiple domains 3 (CSMD3), transcript variant a, mRNA",CSMD3,13052,NM_198123.2,no
"NM_022455.5 Homo sapiens nuclear receptor binding SET domain protein 1 (NSD1), transcript variant 2, mRNA",NSD1,13042,NM_022455.5,no
"NR_158973.1 Homo sapiens neurexin 3 (NRXN3), transcript variant 8, non-coding RNA",NRXN3,13042,NR_158973.1,no
"NM_000926.4 Homo sapiens progesterone receptor (PGR), transcript variant 2, mRNA",PGR,13037,NM_000926.4,no
"NM_018984.4 Homo sapiens slingshot protein phosphatase 1 (SSH1), transcript variant 1, mRNA",SSH1,13034,NM_018984.4,no
"NM_001302371.3 Homo sapiens NBPF member 10 (NBPF10), transcript variant 1, mRNA",NBPF10,13030,NM_001302371.3,no
"NM_020443.4 Homo sapiens neuron navigator 1 (NAV1), transcript variant 1, mRNA",NAV1,13029,NM_020443.4,no
"NM_001351834.2 Homo sapiens ATM serine/threonine kinase (ATM), transcript variant 1, mRNA",ATM,13003,NM_001351834.2,no
"NM_017583.6 Homo sapiens tripartite motif containing 44 (TRIM44), mRNA",TRIM44,12994,NM_017583.6,no
"NM_177559.3 Homo sapiens casein kinase 2 alpha 1 (CSNK2A1), transcript variant 1, mRNA",CSNK2A1,12984,NM_177559.3,no
"NM_001323039.3 Homo sapiens synaptic vesicle glycoprotein 2B (SV2B), transcript variant 10, mRNA",SV2B,12981,NM_001323039.3,no
"NM_001160148.2 Homo sapiens DDHD domain containing 1 (DDHD1), transcript variant 3, mRNA",DDHD1,12941,NM_001160148.2,no
"NM_001362438.2 Homo sapiens cadherin 7 (CDH7), transcript variant d, mRNA",CDH7,12938,NM_001362438.2,no
"NM_012194.3 Homo sapiens KIAA1549 like (KIAA1549L), mRNA",KIAA1549L,12933,NM_012194.3,no
"NM_015120.4 Homo sapiens ALMS1 centrosome and basal body associated protein (ALMS1), transcript variant 1, mRNA",ALMS1,12928,NM_015120.4,no
"NM_017902.3 Homo sapiens hypoxia inducible factor 1 subunit alpha inhibitor (HIF1AN), mRNA",HIF1AN,12927,NM_017902.3,no
"NM_153252.5 Homo sapiens bromodomain and WD repeat domain containing 3 (BRWD3), mRNA",BRWD3,12921,NM_153252.5,no
"NM_001163278.1 Homo sapiens teneurin transmembrane protein 1 (TENM1), transcript variant 1, mRNA",TENM1,12907,NM_001163278.1,no
"NM_001130524.2 Homo sapiens adaptor related protein complex 1 subunit mu 1 (AP1M1), transcript variant 1, mRNA",AP1M1,12895,NM_001130524.2,no
"NM_153610.5 Homo sapiens cardiomyopathy associated 5 (CMYA5), mRNA",CMYA5,12888,NM_153610.5,no
"NM_173495.3 Homo sapiens patched domain containing 1 (PTCHD1), mRNA",PTCHD1,12883,NM_173495.3,no
"NM_014982.3 Homo sapiens pecanex 1 (PCNX1), transcript variant 1, mRNA",PCNX1,12865,NM_014982.3,no
"NM_018263.6 Homo sapiens ASXL transcriptional regulator 2 (ASXL2), transcript variant 1, mRNA",ASXL2,12849,NM_018263.6,no
"NM_001145720.2 Homo sapiens zinc finger and BTB domain containing 8B (ZBTB8B), mRNA",ZBTB8B,12831,NM_001145720.2,no
"NM_001322402.2 Homo sapiens adhesion G protein-coupled receptor L3 (ADGRL3), transcript variant 1, mRNA",ADGRL3,12816,NM_001322402.2,no
"NM_017637.6 Homo sapiens basonuclin 2 (BNC2), transcript variant 1, mRNA",BNC2,12808,NM_017637.6,no
"NM_003266.4 Homo sapiens toll like receptor 4 (TLR4), transcript variant 3, mRNA",TLR4,12797,NM_003266.4,no
"NM_002016.2 Homo sapiens filaggrin (FLG), mRNA",FLG,12793,NM_002016.2,no
"NM_006581.4 Homo sapiens fucosyltransferase 9 (FUT9), mRNA",FUT9,12793,NM_006581.4,no
"NM_001290322.3 Homo sapiens Dmx like 1 (DMXL1), transcript variant 3, mRNA",DMXL1,12783,NM_001290322.3,no
"NM_002867.4 Homo sapiens RAB3B, member RAS oncogene family (RAB3B), mRNA",RAB3B,12780,NM_002867.4,no
"NM_001318739.2 Homo sapiens defective in cullin neddylation 1 domain containing 5 (DCUN1D5), transcript variant 2, mRNA",DCUN1D5,12778,NM_001318739.2,no
"NM_003285.3 Homo sapiens tenascin R (TNR), transcript variant 1, mRNA",TNR,12774,NM_003285.3,no
"NM_001114118.3 Homo sapiens nuclear cap binding subunit 3 (NCBP3), mRNA",NCBP3,12772,NM_001114118.3,no
"NM_001370.2 Homo sapiens dynein axonemal heavy chain 6 (DNAH6), mRNA",DNAH6,12752,NM_001370.2,no
"NM_024734.4 Homo sapiens calmin (CLMN), mRNA",CLMN,12749,NM_024734.4,no
"NM_001367835.1 Homo sapiens formin like 3 (FMNL3), transcript variant 3, mRNA",FMNL3,12740,NM_001367835.1,no
"NM_023037.3 Homo sapiens FRY microtubule binding protein (FRY), mRNA",FRY,12729,NM_023037.3,no
"NR_136705.1 Homo sapiens Kruppel like factor 8 (KLF8), transcript variant 7, non-coding RNA",KLF8,12729,NR_136705.1,no
"NR_109833.1 Homo sapiens prostate cancer associated non-coding RNA 1 (PRNCR1), long non-coding RNA",PRNCR1,12722,NR_109833.1,no
"NM_001142386.3 Homo sapiens pyruvate dehydrogenase kinase 3 (PDK3), transcript variant 1, mRNA",PDK3,12720,NM_001142386.3,no
"NM_002417.5 Homo sapiens marker of proliferation Ki-67 (MKI67), transcript variant 1, mRNA",MKI67,12716,NM_002417.5,no
"NM_001330761.2 Homo sapiens zinc finger DHHC-type palmitoyltransferase 3 (ZDHHC3), transcript variant 4, mRNA",ZDHHC3,12696,NM_001330761.2,no
"NM_001244580.1 Homo sapiens transformation/transcription domain associated protein (TRRAP), transcript variant 1, mRNA",TRRAP,12695,NM_001244580.1,no
"NM_020964.3 Homo sapiens ectopic P-granules autophagy protein 5 homolog (EPG5), mRNA",EPG5,12688,NM_020964.3,no
"NM_152381.6 Homo sapiens xin actin binding repeat containing 2 (XIRP2), transcript variant 1, mRNA",XIRP2,12682,NM_152381.6,no
"NM_133170.4 Homo sapiens protein tyrosine phosphatase receptor type T (PTPRT), transcript variant 1, mRNA",PTPRT,12679,NM_133170.4,no
"NM_001308116.2 Homo sapiens polyhomeotic homolog 3 (PHC3), transcript variant 2, mRNA",PHC3,12667,NM_001308116.2,no
"NM_021116.4 Homo sapiens adenylate cyclase 1 (ADCY1), transcript variant 1, mRNA",ADCY1,12657,NM_021116.4,no
"NM_001130031.2 Homo sapiens zinc finger protein 562 (ZNF562), transcript variant 1, mRNA",ZNF562,12639,NM_001130031.2,no
"NM_001098175.2 Homo sapiens ectonucleoside triphosphate diphosphohydrolase 1 (ENTPD1), transcript variant 2, mRNA",ENTPD1,12630,NM_001098175.2,no
"NM_001378408.1 Homo sapiens phosphodiesterase 3A (PDE3A), transcript variant 4, mRNA",PDE3A,12627,NM_001378408.1,no
"NM_024503.5 Homo sapiens HIVEP zinc finger 3 (HIVEP3), transcript variant 1, mRNA",HIVEP3,12617,NM_024503.5,no
"NM_173808.3 Homo sapiens neuronal growth regulator 1 (NEGR1), mRNA",NEGR1,12613,NM_173808.3,no
"NM_033510.3 Homo sapiens dispatched RND transporter family member 2 (DISP2), mRNA",DISP2,12612,NM_033510.3,no
"NM_015225.3 Homo sapiens prune homolog 2 with BCH domain (PRUNE2), transcript variant 1, mRNA",PRUNE2,12612,NM_015225.3,no
"NM_003441.4 Homo sapiens zinc finger protein 141 (ZNF141), transcript variant 1, mRNA",ZNF141,12601,NM_003441.4,no
"NM_001039590.3 Homo sapiens ubiquitin specific peptidase 9 X-linked (USP9X), transcript variant 3, mRNA",USP9X,12591,NM_001039590.3,no
"NM_052909.5 Homo sapiens pleckstrin homology and RhoGEF domain containing G4B (PLEKHG4B), mRNA",PLEKHG4B,12591,NM_052909.5,no
"NM_001347886.2 Homo sapiens dynein axonemal heavy chain 3 (DNAH3), transcript variant 2, mRNA",DNAH3,12567,NM_001347886.2,no
"NM_002223.4 Homo sapiens inositol 1,4,5-trisphosphate receptor type 2 (ITPR2), mRNA",ITPR2,12564,NM_002223.4,no
"NM_018374.4 Homo sapiens transmembrane protein 106B (TMEM106B), transcript variant 1, mRNA",TMEM106B,12545,NM_018374.4,no
"NM_016073.4 Homo sapiens HDGF like 3 (HDGFL3), mRNA",HDGFL3,12538,NM_016073.4,no
"NM_001322206.2 Homo sapiens neuregulin 1 (NRG1), transcript variant III-2, mRNA",NRG1,12518,NM_001322206.2,no
"NM_001303618.2 Homo sapiens CD226 molecule (CD226), transcript variant 2, mRNA",CD226,12518,NM_001303618.2,no
"NM_001164665.2 Homo sapiens KIAA1549 (KIAA1549), transcript variant 2, mRNA",KIAA1549,12498,NM_001164665.2,no
"NM_001351444.2 Homo sapiens zinc finger protein 292 (ZNF292), transcript variant 2, mRNA",ZNF292,12486,NM_001351444.2,no
"NM_016341.4 Homo sapiens phospholipase C epsilon 1 (PLCE1), transcript variant 1, mRNA",PLCE1,12481,NM_016341.4,no
"NM_015425.6 Homo sapiens RNA polymerase I subunit A (POLR1A), mRNA",POLR1A,12480,NM_015425.6,no
"NM_020760.4 Homo sapiens HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2 (HECW2), transcript variant 1, mRNA",HECW2,12479,NM_020760.4,no
"NM_006901.4 Homo sapiens myosin IXA (MYO9A), mRNA",MYO9A,12478,NM_006901.4,no
"NM_005751.4 Homo sapiens A-kinase anchoring protein 9 (AKAP9), transcript variant 2, mRNA",AKAP9,12463,NM_005751.4,no
"NM_007124.2 Homo sapiens utrophin (UTRN), transcript variant 1, mRNA",UTRN,12436,NM_007124.2,no
"NM_018897.3 Homo sapiens dynein axonemal heavy chain 7 (DNAH7), mRNA",DNAH7,12419,NM_018897.3,no
"NM_001366147.2 Homo sapiens transient receptor potential cation channel subfamily M member 3 (TRPM3), transcript variant 16, mRNA",TRPM3,12395,NM_001366147.2,no
"NM_015001.3 Homo sapiens spen family transcriptional repressor (SPEN), mRNA",SPEN,12385,NM_015001.3,no
"NM_016200.5 Homo sapiens LSM8 homolog, U6 small nuclear RNA associated (LSM8), mRNA",LSM8,12384,NM_016200.5,no
"NM_175920.4 Homo sapiens leucyl and cystinyl aminopeptidase (LNPEP), transcript variant 2, mRNA",LNPEP,12383,NM_175920.4,no
"NM_000267.3 Homo sapiens neurofibromin 1 (NF1), transcript variant 2, mRNA",NF1,12381,NM_000267.3,no
"NM_004949.5 Homo sapiens desmocollin 2 (DSC2), transcript variant Dsc2b, mRNA",DSC2,12377,NM_004949.5,no
"NM_004385.5 Homo sapiens versican (VCAN), transcript variant 1, mRNA",VCAN,12345,NM_004385.5,no
"NM_031859.3 Homo sapiens protocadherin alpha 10 (PCDHA10), transcript variant 2, mRNA",PCDHA10,12344,NM_031859.3,no
"NM_199511.3 Homo sapiens coiled-coil domain containing 80 (CCDC80), transcript variant 1, mRNA",CCDC80,12301,NM_199511.3,no
"NM_001109754.4 Homo sapiens protein tyrosine phosphatase receptor type B (PTPRB), transcript variant 1, mRNA",PTPRB,12301,NM_001109754.4,no
"NM_001204218.1 Homo sapiens nitric oxide synthase 1 (NOS1), transcript variant 2, mRNA",NOS1,12291,NM_001204218.1,no
"NM_015409.5 Homo sapiens E1A binding protein p400 (EP400), mRNA",EP400,12289,NM_015409.5,no
"NM_032812.9 Homo sapiens plexin domain containing 2 (PLXDC2), transcript variant 1, mRNA",PLXDC2,12275,NM_032812.9,no
"NM_025185.4 Homo sapiens tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2 (TANC2), mRNA",TANC2,12259,NM_025185.4,no
"NM_001145337.3 Homo sapiens MDM2 proto-oncogene (MDM2), transcript variant 3, mRNA",MDM2,12239,NM_001145337.3,no
"NM_000259.3 Homo sapiens myosin VA (MYO5A), transcript variant 1, mRNA",MYO5A,12238,NM_000259.3,no
"NM_173485.6 Homo sapiens teashirt zinc finger homeobox 2 (TSHZ2), transcript variant 1, mRNA",TSHZ2,12236,NM_173485.6,no
"NM_000875.5 Homo sapiens insulin like growth factor 1 receptor (IGF1R), transcript variant 1, mRNA",IGF1R,12235,NM_000875.5,no
"NM_007314.4 Homo sapiens ABL proto-oncogene 2, non-receptor tyrosine kinase (ABL2), transcript variant b, mRNA",ABL2,12217,NM_007314.4,no
"NM_153366.4 Homo sapiens sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1 (SVEP1), mRNA",SVEP1,12205,NM_153366.4,no
"NM_001300987.2 Homo sapiens polypyrimidine tract binding protein 2 (PTBP2), transcript variant 3, mRNA",PTBP2,12185,NM_001300987.2,no
"NM_001146264.3 Homo sapiens synaptotagmin 14 (SYT14), transcript variant 2, mRNA",SYT14,12184,NM_001146264.3,no
"NM_173690.5 Homo sapiens suppressor of cancer cell invasion (SCAI), transcript variant 1, mRNA",SCAI,12180,NM_173690.5,no
"NM_003417.5 Homo sapiens zinc finger protein 264 (ZNF264), mRNA",ZNF264,12163,NM_003417.5,no
"NM_001366028.2 Homo sapiens dynein axonemal heavy chain 12 (DNAH12), transcript variant 4, mRNA",DNAH12,12145,NM_001366028.2,no
"NM_173814.6 Homo sapiens protogenin (PRTG), mRNA",PRTG,12142,NM_173814.6,no
"NM_018836.4 Homo sapiens adherens junctions associated protein 1 (AJAP1), transcript variant 1, mRNA",AJAP1,12102,NM_018836.4,no
"NM_005235.3 Homo sapiens erb-b2 receptor tyrosine kinase 4 (ERBB4), transcript variant JM-a/CVT-1, mRNA",ERBB4,12097,NM_005235.3,no
"NM_020791.3 Homo sapiens TAO kinase 1 (TAOK1), transcript variant 1, mRNA",TAOK1,12081,NM_020791.3,no
"NM_001322830.2 Homo sapiens potassium calcium-activated channel subfamily M alpha 1 (KCNMA1), transcript variant 11, mRNA",KCNMA1,12072,NM_001322830.2,no
"NM_001204.7 Homo sapiens bone morphogenetic protein receptor type 2 (BMPR2), mRNA",BMPR2,12068,NM_001204.7,no
"NM_001287491.2 Homo sapiens tet methylcytosine dioxygenase 3 (TET3), transcript variant 1, mRNA",TET3,12060,NM_001287491.2,no
"NM_001366177.2 Homo sapiens ASH1 like histone lysine methyltransferase (ASH1L), transcript variant 1, mRNA",ASH1L,12052,NM_001366177.2,no
"NM_005246.4 Homo sapiens FER tyrosine kinase (FER), transcript variant 1, mRNA",FER,12044,NM_005246.4,no
"NM_001323375.2 Homo sapiens calcium/calmodulin dependent protein kinase IV (CAMK4), transcript variant 3, mRNA",CAMK4,12043,NM_001323375.2,no
"NM_001164273.1 Homo sapiens MAX dimerization protein MGA (MGA), transcript variant 1, mRNA",MGA,12042,NM_001164273.1,no
"NM_004171.4 Homo sapiens solute carrier family 1 member 2 (SLC1A2), transcript variant 1, mRNA",SLC1A2,12006,NM_004171.4,no
"NR_073055.2 Homo sapiens solute carrier family 16 member 7 (SLC16A7), transcript variant 4, non-coding RNA",SLC16A7,12006,NR_073055.2,no
"NM_178140.4 Homo sapiens PDZ domain containing 2 (PDZD2), mRNA",PDZD2,11984,NM_178140.4,no
