Supplementary Table 3: Information of Sequences Used to Test the Model's Ability to Generalize,,,,,,,,
,ID,Organism Name,MolTyp,Topology,Description,Genome Type,Length,Family
170,NC_040774.1,Diatom colony associated dsRNA virus 7,RNA,linear,"Diatom colony associated dsRNA virus 7 genomic RNA, complete genome",dsRNA,5327,Totiviridae']
171,NC_040775.1,Diatom colony associated dsRNA virus 12,RNA,linear,"Diatom colony associated dsRNA virus 12 genomic RNA, complete genome",dsRNA,5941,Totiviridae']
172,NC_040785.1,Rusa timorensis papillomavirus type 2,DNA,circular,"Rusa timorensis papillomavirus type 2 isolate IZW 39/08, complete genome",dsDNA,7342,Papillomaviridae
173,NC_040787.1,Molossus molossus papillomavirus 1,DNA,circular,"Molossus molossus papillomavirus 1 isolate MmoPV1_MF, complete genome",dsDNA,7869,Papillomaviridae
174,NC_040792.1,Rice latent virus 1,ss-DNA,circular,"Rice latent virus 1 isolate AU-NA63-2015, complete genome",ssDNA(+/-),2757,Geminiviridae
175,NC_040793.1,Alternaria arborescens victorivirus 1,RNA,linear,"Alternaria arborescens victorivirus 1 genomic RNA, complete genome",dsRNA,5206,Totiviridae
176,NC_040807.1,Cacao swollen shoot Ghana J virus,DNA,circular,"Cacao swollen shoot Ghana J virus isolate GWR198J-13, complete genome",dsDNA-RT,7167,Caulimoviridae
177,NC_040808.1,Cacao swollen shoot Ghana K virus,DNA,circular,"Cacao swollen shoot Ghana K virus isolate GWR3-14, complete genome",dsDNA-RT,7119,Caulimoviridae
178,NC_040809.1,Cacao Bacilliform SriLanka Virus,DNA,circular,"Cacao Bacilliform SriLanka Virus isolate A, complete genome",dsDNA-RT,7215,Caulimoviridae
179,NC_040811.1,Polar bear mastadenovirus 1,DNA,linear,"Polar bear mastadenovirus 1 isolate BK35, complete genome",dsDNA,27952,Adenoviridae
180,NC_040818.1,Leptonychotes weddellii papillomavirus 6,DNA,circular,"Leptonychotes weddellii papillomavirus 6 isolate 17495, complete genome",dsDNA,7658,Papillomaviridae
181,NC_040821.1,Glis glis polyomavirus 1,DNA,circular,"Glis glis polyomavirus 1 isolate 3327 ID3a, complete genome",dsDNA,5338,Polyomaviridae
182,NC_040827.1,Macaca mulatta papillomavirus 3,DNA,circular,"Macaca mulatta papillomavirus 3 isolate PM084S3c177403, complete genome",dsDNA,8051,Papillomaviridae
183,NC_040841.1,Pinus nigra virus 1,DNA,circular,"Pinus nigra virus 1 isolate B2, complete genome",dsDNA-RT,7107,Caulimoviridae
184,NC_040843.1,Mouse kidney parvovirus,DNA,linear,"Mouse kidney parvovirus strain Centenary Institute, complete genome",ssDNA(+/-),4442,Parvoviridae
185,MH170061.2,Porcine associated porprismacovirus 3,DNA,circular,"Porcine associated porprismacovirus 3 isolate 12/RS/BR, complete genome",ssDNA,2518,Smacoviridae
186,MH170063.1,Torque teno sus virus 1b,DNA,circular,"Torque teno sus virus 1b isolate RS/2, complete genome",ssDNA(-),2930,Anelloviridae
187,MN135851.1,Human polyomavirus 1,DNA,circular,"Human polyomavirus 1 isolate BKV-1998-Vero, complete genome",dsDNA,5141,Polyomaviridae
188,MN175614.1,Avian adeno-associated virus,DNA,linear,"Avian adeno-associated virus isolate BR_DF12, complete genome",ssDNA(+/-),4642,Parvoviridae
189,MH667487.1,Maize streak virus,DNA,linear,"Maize streak virus isolate NA15-Tz, complete genome",ssDNA(+/-),2689,Geminiviridae
190,MN311452.1,Anser anser polyomavirus 1,DNA,circular,"Anser anser polyomavirus 1 strain 1969, complete genome",dsDNA,5254,Polyomaviridae
191,MN296502.1,Banana streak GF virus,DNA,circular,"Banana streak GF virus isolate Yunnan, complete genome",dsDNA-RT,7325,Caulimoviridae
192,MN832850.1,Canine parvovirus 2c,DNA,linear,"Canine parvovirus 2c isolate Taiwan/2018, complete genome",ssDNA(+/-),4960,Parvoviridae
193,NC_001317.1,Escherichia phage 186,DNA,linear,"Escherichia phage 186, complete genome",dsDNA,30624,Myoviridae
194,NC_005056.1,Escherichia phage Wphi,DNA,linear,"Escherichia phage Wphi, complete genome",dsDNA,32684,Myoviridae
195,KU641558.1,Goose parvovirus,DNA,linear,"Goose parvovirus strain CVSD01, complete genome",ssDNA(+/-),5106,Parvoviridae
196,LC413283.1,Lymphocytic choriomeningitis mammarenavirus,cRNA,linear,"Lymphocytic choriomeningitis mammarenavirus WE-NIID viral cRNA, complete genome, segment S",ssRNA(+/-),3375,Arenaviridae
197,KY825714.1,Tomato yellow leaf curl virus,DNA,circular,"Tomato yellow leaf curl virus isolate IR/Ker/TBa4/Tur/15, complete genome",ssDNA(+/-),2756,Geminiviridae
198,NC_045425.1,Thermus phage phiOH3,DNA,circular,"Thermus phage phiOH3 genomic DNA, complete genome",ssDNA(+),5688,Inoviridae
199,MG807318.2,Zamilon virus,DNA,circular,"Zamilon virus isolate Z.vigne, complete genome",dsDNA,17327,Lavidaviridae
200,LC480521.1,Trichodysplasia spinulosa-associated polyomavirus,DNA,circular,"Trichodysplasia spinulosa-associated polyomavirus TSPyV-Syn DNA, complete genome",dsDNA,5232,Polyomaviridae
201,LC381046.1,Equine foamy virus,DNA,linear,"Equine foamy virus LM proviral DNA, complete genome",ssRNA-RT,12034,Retroviridae
202,MK840982.1,Avian gyrovirus 2,DNA,circular,"Avian gyrovirus 2 isolate HB2018S1, complete genome",ssDNA(-),2376,Anelloviridae
203,MK473389.1,Bougainvillea chlorotic vein banding virus,DNA,circular,"Bougainvillea chlorotic vein banding virus isolate BCVBV-UNB-01, complete genome",dsDNA-RT,8665,Caulimoviridae
204,MK463904.1,Human papillomavirus type 6,DNA,circular,"Human papillomavirus type 6 isolate HEV6-gw-0604, complete genome",dsDNA,7994,Papillomaviridae
205,MK463910.1,Human papillomavirus type 7,DNA,circular,"Human papillomavirus type 7 isolate HPV7-gw-0705, complete genome",dsDNA,8027,Papillomaviridae
206,MK463914.1,Human papillomavirus type 11,DNA,circular,"Human papillomavirus type 11 isolate HPV11-gw-1103, complete genome",dsDNA,7933,Papillomaviridae
207,MK463923.1,Human papillomavirus type 40,DNA,circular,"Human papillomavirus type 40 isolate HPV40-gw-4008, complete genome",dsDNA,7909,Papillomaviridae
208,MK463924.1,Human papillomavirus type 57,DNA,circular,"Human papillomavirus type 57 isolate HPV57c-gw-5710, complete genome",dsDNA,7848,Papillomaviridae
209,MK463926.1,Human papillomavirus type 81,DNA,circular,"Human papillomavirus type 81 isolate HPV81-gw-8110, complete genome",dsDNA,8070,Papillomaviridae
210,MK472692.1,Petunia vein clearing virus,DNA,linear,"Petunia vein clearing virus isolate Kr, complete genome",dsDNA-RT,7221,Caulimoviridae
211,NC_027623.2,Propionibacterium phage Pirate,DNA,linear,"Propionibacterium phage Pirate, complete genome",dsDNA,29324,Siphoviridae
212,NC_031005.2,Propionibacterium phage QueenBey,DNA,linear,"Propionibacterium phage QueenBey, complete genome",dsDNA,29338,Siphoviridae
213,NC_031959.2,Bosavirus MS-2016a,DNA,linear,"Bosavirus MS-2016a, complete genome",ssDNA(+/-),5371,Parvoviridae
214,KJ452212.1,Goose hemorrhagic polyomavirus,DNA,circular,"Goose hemorrhagic polyomavirus strain 14234, complete genome",dsDNA,5252,Polyomaviridae
215,MF631845.1,Reticuloendotheliosis virus,DNA,linear,"Reticuloendotheliosis virus isolate REV-TH/CBI/2013/CU-1, complete genome",ssRNA-RT,8284,Retroviridae
216,MK348055.1,Fig badnavirus 1,DNA,circular,"Fig badnavirus 1 isolate Fars, complete genome",dsDNA-RT,7128,Caulimoviridae
217,KP279748.1,Human adenovirus 55,DNA,linear,"Human adenovirus 55 strain human/CHN/AQ-1/2012/55[P14/H11/F14], complete genome",dsDNA,34755,Adenoviridae
218,LC432338.1,Magnaporthe oryzae chrysovirus 1,RNA,linear,"Magnaporthe oryzae chrysovirus 1 MoCV1/D genomic RNA, segment 1, complete genome",dsRNA,3557,Chrysoviridae
219,LC432343.1,Magnaporthe oryzae virus 2,RNA,linear,"Magnaporthe oryzae virus 2 MoV2/AK genomic RNA, complete genome",dsRNA,5194,Totiviridae
220,MK546378.1,Maize streak Reunion virus,DNA,circular,"Maize streak Reunion virus isolate Reunion-Bassin plat-Cenchrus echinatus-RE001-2014, complete genome",ssDNA(+/-),2880,Geminiviridae
221,LC491577.1,HBV genotype H,DNA,circular,"HBV genotype H Itabashi DNA, complete genome",dsDNA-RT,3215,Hepadnaviridae
222,MK606500.1,Sugarcane white streak virus,DNA,circular,"Sugarcane white streak virus isolate Reunion-H11_R962569-2013, complete genome",ssDNA(+/-),2832,Geminiviridae
223,MG017318.1,Taro bacilliform virus,DNA,linear,"Taro bacilliform virus isolate Aus7, complete genome",dsDNA-RT,7494,Caulimoviridae
224,MG017324.1,Taro bacilliform CH virus,DNA,linear,"Taro bacilliform CH virus isolate Et17, complete genome",dsDNA-RT,7610,Caulimoviridae
225,MK513442.1,Human associated gemykibivirus 1,DNA,circular,"Human associated gemykibivirus 1 isolate 30A, complete genome",ssDNA,2264,Genomoviridae
226,MK513443.1,Human associated gemykibivirus 2,DNA,circular,"Human associated gemykibivirus 2 isolate 87B, complete genome",ssDNA,2199,Genomoviridae
227,MK639100.1,Simian T-lymphotropic virus 1,RNA,linear,"Simian T-lymphotropic virus 1 strain Mra18C9, complete genome",ssRNA-RT,9037,Retroviridae
228,MH404165.1,Dioscorea bacilliform AL virus,DNA,circular,"Dioscorea bacilliform AL virus isolate DBALV-VUT12_DA, complete genome",dsDNA-RT,7531,Caulimoviridae
229,NC_001654.1,Jembrana disease virus,ss-RNA,linear,"Jembrana disease virus Tabanan/87 strain, complete genome",ssRNA-RT,7732,Retroviridae
230,NC_007818.1,Escherichia phage ID21,DNA,circular,"Coliphage ID21, complete genome",ssDNA(+),6068,Microviridae
231,NC_007819.1,Escherichia phage ID32,DNA,circular,"Coliphage ID32, complete genome",ssDNA(+),6071,Microviridae
232,NC_007820.1,Escherichia phage NC35,DNA,circular,"Coliphage NC35, complete genome",ssDNA(+),6039,Microviridae
233,NC_007822.1,Escherichia phage WA45,DNA,circular,"Coliphage WA45, complete genome",ssDNA(+),6068,Microviridae
234,NC_007823.1,Escherichia phage NC28,DNA,circular,"Coliphage NC28, complete genome",ssDNA(+),6065,Microviridae
235,NC_007824.1,Escherichia phage ID62,DNA,circular,"Coliphage ID62, complete genome",ssDNA(+),6051,Microviridae
236,NC_007825.1,Escherichia phage ID52,DNA,circular,"Coliphage ID52, complete genome",ssDNA(+),5538,Microviridae
237,NC_007827.1,Escherichia phage NC29,DNA,circular,"Coliphage NC29, complete genome",ssDNA(+),6259,Microviridae
238,NC_043028.1,Xanthomonas phage Xf109,DNA,circular,"Xanthomonas phage Xf109, complete genome",ssDNA(+),7190,Inoviridae
239,NC_043029.1,Stenotrophomonas phage phiSMA6,RNA,circular,Stenotrophomonas phage phiSMA6 proviral complete genome,ssDNA(+),7648,Inoviridae']
240,NC_043119.1,Eupatorium yellow vein virus - [Yamaguchi],DNA,circular,"Eupatorium yellow vein virus - [Yamaguchi] DNA, complete genome",ssDNA(+/-),2765,Geminiviridae
241,NC_043120.1,Eupatorium yellow vein virus-[Suya],DNA,circular,"Eupatorium yellow vein virus-[Suya] DNA, complete genome, isolate: Suya-2003",ssDNA(+/-),2760,Geminiviridae
242,NC_043121.1,Eupatorium yellow vein virus-[Japan:Kagawa:Tomato:1997],DNA,circular,"Eupatorium yellow vein virus-[Japan: Kagawa: Tomato: 1997] DNA, complete genome",ssDNA(+/-),2767,Geminiviridae
243,NC_043418.1,Eupatorium yellow vein virus-[MNS2],DNA,circular,"Eupatorium yellow vein virus-[MNS2] complete genome, isolate Fukuoka-MNS2",ssDNA(+/-),2765,Geminiviridae
244,NC_043427.1,Aeropyrum coil-shaped virus,DNA,circular,Aeropyrum coil-shaped virus complete genome,ssDNA(+),24893,Spiraviridae
245,NC_043432.1,Chaetoceros setoense DNA virus,DNA,circular,"Chaetoceros setoense DNA virus DNA, complete genome",ssDNA,5836,Bacilladnaviridae
246,NC_043433.1,Sweet potato golden vein Korea virus,ss-DNA,circular,"Sweet potato golden vein Korea virus isolate 102_SPGVaV, complete genome",ssDNA(+/-),2807,Geminiviridae
247,NC_043445.1,Guenon simian foamy virus,DNA,linear,"Guenon simian foamy virus isolate AG16, complete genome",ssRNA-RT,13072,Retroviridae
248,NC_043523.1,Angelica bushy stunt virus,DNA,circular,"Angelica bushy stunt virus isolate AD, complete genome",dsDNA-RT,8300,Caulimoviridae
249,NC_043528.1,Capuchin monkey hepatitis B virus,DNA,circular,"Capuchin monkey hepatitis B virus isolate M12, complete genome",dsDNA-RT,3182,Hepadnaviridae
250,NC_043531.1,Datura leaf curl virus,DNA,circular,"Datura leaf curl virus isolate Sudan-Datura 435-2016, complete genome",ssDNA(+/-),2782,Geminiviridae
251,NC_043533.1,Prunus geminivirus A,DNA,linear,"Prunus geminivirus A isolate PL4 clone PL4-11, complete genome",ssDNA(+/-),3174,Geminiviridae
252,NC_043534.1,Cacao swollen shoot Ghana M virus,DNA,circular,"Cacao swollen shoot Ghana M virus isolate Gha57-15, complete genome",dsDNA-RT,7009,Caulimoviridae
253,NC_043535.1,Cacao swollen shoot Ghana Q virus,DNA,circular,"Cacao swollen shoot Ghana Q virus isolate Gha40-15, complete genome",dsDNA-RT,7102,Caulimoviridae
254,MF136680.1,Pigeon circovirus,DNA,circular,"Pigeon circovirus strain PiCV/P02/AUS, complete genome",ssDNA(+/-),2037,Circoviridae
255,MH546113.1,Human mastadenovirus B,DNA,linear,"Human mastadenovirus B isolate 75657, complete genome",dsDNA,34724,Adenoviridae
256,MK625182.1,Bat mastadenovirus B,DNA,linear,"Bat mastadenovirus B strain ITA/2018/251170-16, complete genome",dsDNA,31629,Adenoviridae
257,MK212029.1,TTV-like mini virus,DNA,circular,"TTV-like mini virus strain vzttmv2, complete genome",ssDNA(-),2802,Anelloviridae
258,NC_001421.2,Enterobacteria phage PRD1,DNA,linear,"Enterobacteria phage PRD1, complete genome",dsDNA,14927,Tectiviridae
259,NC_001669.1,Macaca mulatta polyomavirus 1,DNA,circular,Simian virus 40 complete genome,dsDNA,5243,Polyomaviridae
260,NC_007461.1,Chlamydia phage 4,DNA,circular,"Chlamydia phage 4, complete genome",ssDNA(+),4530,Microviridae
261,NC_009875.1,Staphylococcus phage SAP-2,DNA,linear,"Staphylococcus phage SAP-2, complete genome",dsDNA,17938,Podoviridae
262,NC_011046.1,Lactococcus virus Bibb29,DNA,linear,"Lactococcus phage bIBB29, complete genome",dsDNA,29305,Siphoviridae
263,NC_011399.1,Ralstonia phage RSM3,DNA,circular,"Ralstonia phage RSM3 DNA, complete genome",ssDNA(+),8929,Inoviridae
264,NC_012213.1,Human papillomavirus type 108,DNA,circular,"Human papillomavirus type 108, complete genome",dsDNA,7149,Papillomaviridae
265,NC_012419.1,Enterococcus phage EFAP-1,DNA,linear,"Enterococcus phage EFAP-1, complete genome",dsDNA,21115,Siphoviridae
266,NC_014952.1,Human papillomavirus type 128,DNA,circular,"Human papillomavirus type 128, complete genome",dsDNA,7259,Papillomaviridae
267,NC_014953.1,Human papillomavirus type 129,DNA,circular,"Human papillomavirus type 129, complete genome",dsDNA,7219,Papillomaviridae
268,NC_014954.1,Human papillomavirus type 131,DNA,circular,"Human papillomavirus type 131, complete genome",dsDNA,7182,Papillomaviridae
269,NC_014956.1,Human papillomavirus 134,DNA,circular,"Human papillomavirus type 134, complete genome",dsDNA,7309,Papillomaviridae
270,NC_017980.1,Clostridium phage phiCP7R,DNA,linear,"Clostridium phage phiCP7R, complete genome",dsDNA,18397,Podoviridae
271,NC_023550.1,Staphylococcus phage GRCS,DNA,linear,"Staphylococcus phage GRCS, complete genome",dsDNA,17869,Podoviridae
272,NC_028789.1,Bacillus phage VMY22,DNA,linear,"Bacillus phage VMY22, complete genome",dsDNA,18609,Podoviridae
273,NC_028967.1,Propionibacterium phage PAC1,DNA,linear,"Propionibacterium phage PAC1, complete genome",dsDNA,29605,Siphoviridae
274,NC_034614.1,Zostera marina amalgavirus 1,RNA,linear,"Zostera marina amalgavirus 1 isolate SRP035489-1, complete genome",dsRNA,3383,Amalgaviridae
275,NC_034615.1,Zostera marina amalgavirus 2,RNA,linear,"Zostera marina amalgavirus 2 isolate SRP035489-2, complete genome",dsRNA,3316,Amalgaviridae
276,NC_035211.1,Human fecal virus Jorvi4,DNA,circular,"Human fecal virus Jorvi4, complete genome",ssDNA(+/-),2343,Circoviridae
277,NC_035212.1,Human fecal virus Jorvi2,DNA,circular,"Human fecal virus Jorvi2, complete genome",ssDNA(+/-),3925,Circoviridae
278,NC_038559.1,Saimiri sciureus polyomavirus 1,DNA,circular,"Saimiri sciureus polyomavirus 1, complete genome",dsDNA,5067,Polyomaviridae
279,MF062484.1,Human adenovirus 14,DNA,linear,"Human adenovirus 14 isolate HAdV-B/CHN/GZ02-6161/2010/14[P14H14F14], complete genome",dsDNA,34766,Adenoviridae
280,MK561030.1,Squirrel monkey retrovirus,RNA,linear,"Squirrel monkey retrovirus, complete genome",ssRNA-RT,8787,Retroviridae
281,NC_017695.1,Lactococcus virus ASCC273,DNA,linear,"Lactococcus Phage ASCC273, complete genome",dsDNA,32582,Siphoviridae
282,NC_017696.1,Lactococcus virus ASCC532,DNA,linear,"Lactococcus Phage ASCC532, complete genome",dsDNA,32384,Siphoviridae
283,NC_017698.1,Lactococcus virus ASCC465,DNA,linear,"Lactococcus Phage ASCC465, complete genome",dsDNA,31772,Siphoviridae
284,NC_017702.1,Lactococcus virus ASCC281,DNA,linear,"Lactococcus Phage ASCC281, complete genome",dsDNA,32023,Siphoviridae
285,NC_042347.1,Sulfolobus ellipsoid virus 1,DNA,linear,"Sulfolobus ellipsoid virus 1 isolate CR_L, complete genome",dsDNA,23219,Ovaliviridae
286,MK049348.1,Human polyomavirus 3,DNA,circular,"Human polyomavirus 3 strain vzki1, complete genome",dsDNA,5040,Polyomaviridae
287,MK049349.1,Human polyomavirus 4,DNA,circular,"Human polyomavirus 4 strain vzwu1, complete genome",dsDNA,5229,Polyomaviridae
288,MK050987.1,Torque teno canis virus,DNA,circular,"Torque teno canis virus isolate GXNN32, complete genome",ssDNA(-),2795,Anelloviridae
289,MK052980.1,Sweet potato badnavirus B,DNA,linear,"Sweet potato badnavirus B isolate Hunan-24, complete genome",dsDNA-RT,7981,Caulimoviridae
290,MH634393.1,Human adenovirus D8,DNA,linear,"UNVERIFIED: Human adenovirus D8 isolate YN/7/2018, complete genome",dsDNA,34996,Adenoviridae
291,MH718847.1,Soybean chlorotic mottle virus,DNA,circular,"Soybean chlorotic mottle virus isolate NC113, complete genome",dsDNA-RT,8210,Caulimoviridae
292,MK462122.1,Fur seal faeces associated circular DNA virus,DNA,circular,"Fur seal faeces associated circular DNA virus isolate CHN, complete genome",ssDNA(+/-),2915,Circoviridae
293,NC_007451.1,Enterobacteria phage PR4,DNA,linear,"Enterobacteria phage PR4, complete genome",dsDNA,14954,Tectiviridae
294,NC_013153.1,Lactococcus virus CB19,DNA,linear,"Lactococcus phage CB19, complete genome",dsDNA,28643,Siphoviridae
295,NC_013154.1,Lactococcus virus CB20,DNA,linear,"Lactococcus phage CB20, complete genome",dsDNA,28625,Siphoviridae
296,NC_022339.1,Propionibacterium phage PHL037M02,DNA,linear,"Propionibacterium phage PHL037M02, complete genome",dsDNA,29443,Siphoviridae
297,NC_027347.1,Propionibacterium phage PHL151M00,DNA,linear,"Propionibacterium phage PHL151M00, complete genome",dsDNA,29511,Siphoviridae
298,NC_027376.1,Propionibacterium phage PHL308M00,DNA,linear,"Propionibacterium phage PHL308M00, complete genome",dsDNA,29442,Siphoviridae
299,NC_027380.1,Propionibacterium phage PHL067M01,DNA,linear,"Propionibacterium phage PHL067M01, complete genome",dsDNA,29377,Siphoviridae
300,NC_027392.1,Propionibacterium phage PHL194M00,DNA,linear,"Propionibacterium phage PHL194M00, complete genome",dsDNA,29264,Siphoviridae
301,NC_027403.1,Propionibacterium phage PHL117M00,DNA,linear,"Propionibacterium phage PHL117M00, complete genome",dsDNA,29255,Siphoviridae
302,NC_027405.1,Propionibacterium phage PHL163M00,DNA,linear,"Propionibacterium phage PHL163M00, complete genome",dsDNA,29264,Siphoviridae
303,NC_041848.1,Escherichia virus P2,DNA,linear,"Enterobacteria phage P2, complete genome",dsDNA,31200,Myoviridae
304,NC_041954.1,Propionibacterium phage Keiki,DNA,linear,"Propionibacterium phage Keiki, complete genome",dsDNA,29339,Siphoviridae
305,NC_041955.1,Propionibacterium phage PHL082M03,DNA,linear,"Propionibacterium phage PHL082M03, complete genome",dsDNA,29491,Siphoviridae
306,NC_041956.1,Propionibacterium phage PHL117M01,DNA,linear,"Propionibacterium phage PHL117M01, complete genome",dsDNA,29422,Siphoviridae
